# CBL-DIAG generated 11-Mar-2015 20:18:01 UTC - (c) 2015 The Spamhaus Project Ltd.
#!IP,ASN,Allocation,Country,Domain,State,time_t,Diagnostic,SubFlow,Flow
1.0.100.34,AS18144,1.0.64.0/18,JP,enecom.co.jp,,1425671754,BOT'" type 9907 s_p2pzeus 54.83.43.69 80 65304 n/a,0,0
1.0.101.233,AS18144,1.0.64.0/18,JP,enecom.co.jp,,1426070387,BOT type 9000 s_zeus 82.165.37.26 80 49344 conduintheairforhu48.net,0,0
1.0.102.179,AS18144,1.0.64.0/18,JP,enecom.co.jp,,1425994542,BOT type 9000 s_zeus 82.165.37.26 80 62254 ermccrtroper310.com,0,0
1.0.103.147,AS18144,1.0.64.0/18,JP,enecom.co.jp,,1425457061,BOT type 9000 s_zeus 82.165.37.26 80 64211 doldendos.com,0,0
1.0.103.195,AS18144,1.0.64.0/18,JP,enecom.co.jp,,1425707835,BOT type 9902 c_zeroaccess 72.221.78.90 16471 1028,0,0
1.0.103.64,AS18144,1.0.64.0/18,JP,enecom.co.jp,,1425778713,BOT type 9904 c_conficker 38.102.150.27 80 1583 38.102.150.27,0,0
1.0.104.15,AS18144,1.0.64.0/18,JP,enecom.co.jp,,1426069861,BOT type 9000 s_zeus 82.165.37.26 80 49167 couforstaytttttt22.net,0,0
1.0.105.98,AS18144,1.0.64.0/18,JP,enecom.co.jp,,1425852869,BOT type 9904 c_conficker 38.102.150.27 80 2834 38.102.150.27,0,0
1.0.106.207,AS18144,1.0.64.0/18,JP,enecom.co.jp,,1425819169,BOT type 9902 c_zeroaccess 24.255.238.4 16471 1027,0,0
1.0.106.62,AS18144,1.0.64.0/18,JP,enecom.co.jp,,1425803942,BOT type 9907 s_p2pzeus 54.83.43.69 80 49397 n/a,0,0
1.0.110.84,AS18144,1.0.64.0/18,JP,enecom.co.jp,,1425395711,BOT type 9902 c_zeroaccess 68.227.140.229 16464 1025,0,0
1.0.117.230,AS18144,1.0.64.0/18,JP,enecom.co.jp,,1426073234,BOT type 9907 s_p2pzeus 54.83.43.69 80 53117 n/a,0,0
1.0.118.28,AS18144,1.0.64.0/18,JP,enecom.co.jp,,1425662440,BOT type 9000 s_zeus 82.165.37.26 80 60089 blurayclear.com,0,0
